WBGeneID,Sequence.name,Public_name,blazie_WBGeneID,blazie_Name,blazie_Chr,blazie_Start,blazie_Stop,blazie_FPKM,pauli_L4_percentile,pauli_L4_pvalue,pauli_L4_description,spencer_LE_AveExpr,spencer_LE_adj_P_Val,spencer_LE_FC,spencer_L2_AveExpr,spencer_L2_adj_P_Val,spencer_L2_FC,blazie_bool,hashimshony_embryo_bool,pauli_L4_bool,spencer_LE_bool,spencer_L2_bool
WBGene00000022,Y39D8C.1,abt-4,WBGene00000022,abt-4,V,323797,330725,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000023,Y53C10A.9,abt-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000024,AC3.3,abu-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000025,F19G12.7,abu-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000026,F31A3.1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000027,Y5H2A.3,abu-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000028,Y105C5A.4,abu-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000029,C03A7.7,abu-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000030,C03A7.8,abu-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000031,C03A7.14,abu-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000032,R09F10.2,abu-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000033,F35A5.3,abu-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000034,T01D1.6,abu-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000035,W09B12.1,ace-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000036,Y44E3A.2,ace-2,WBGene00000036,ace-2,I,3301516,3307466,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000037,Y48B6A.8,ace-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000038,Y48B6A.7,ace-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000039,C42D8.5,acn-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000040,ZK455.1,aco-1,NA,NA,NA,NA,NA,NA,0.937862373,3.55305e-6,iron-responsive element-binding like protein,10.65,0,2.3,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE
WBGene00000041,F54H12.1,aco-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000042,K11G12.2,acr-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000043,K11G12.7,acr-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000044,K03F8.2,acr-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000045,ZK973.5,acr-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000046,T09A5.3,acr-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000047,ZC504.2,acr-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000048,C40C9.2,acr-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000049,R02E12.8,acr-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000050,D2092.3,acr-11,WBGene00000050,acr-11,I,6621687,6624895,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000051,R01E6.4,acr-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000053,T05C12.2,acr-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000054,F25G6.4,acr-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000055,F25G6.3,acr-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000056,F53E10.2,acr-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000057,F28F8.1,acr-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000058,C31H5.3,acr-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000059,R06A4.10,acr-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000060,F27B3.2,acr-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000061,F48E3.7,lgc-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000062,F59B1.9,acr-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000063,T04C12.6,act-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000064,T04C12.5,act-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000065,T04C12.4,act-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000066,M03F4.2,act-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000067,T25C8.2,act-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.63,0,4.21,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE
WBGene00000068,F17C8.1,acy-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000069,C10F3.3,acy-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000070,C44F1.5,acy-3,WBGene00000070,acy-3,III,3774871,3781876,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000071,T01C2.1,acy-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000072,F39C12.2,add-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000073,F57F5.4,add-2,WBGene00000073,add-2,V,12009521,12013582,6.64,NA,NA,NA,10.02,0,2.67,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE
WBGene00000074,C04A11.4,adm-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000075,ZK154.7,adm-4,WBGene00000075,adm-4,X,7795023,7798229,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000079,H15N14.1,adr-1,NA,adr-1,I,7773411,7777651,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000080,T20H4.4,adr-2,WBGene00000080,adr-2,III,7230892,7232813,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000081,Y50D7A.7,ads-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000082,C02B4.1,adt-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000083,F08C6.1,adt-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000084,D2030.10,aex-1,WBGene00000084,aex-1,I,7602305,7608240,3.5,NA,NA,NA,NA,NA,NA,7.65,0,2.33,TRUE,FALSE,FALSE,FALSE,TRUE
WBGene00000085,T14B1.2,aex-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000086,C02H7.3,aex-3,WBGene00000086,aex-3,X,751201,759732,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000088,F32A7.6,aex-5,NA,NA,NA,NA,NA,NA,0.979165172,4.37212e-4,neuroendocrine convertase 2 precursor like,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000089,Y87G2A.4,aex-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000090,B0334.8,age-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000092,F32A6.4,ags-3,WBGene00000092,ags-3,X,5289689,5298007,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000093,Y62E10A.5,agt-1,WBGene00000093,agt-1,IV,13368426,13369385,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000094,F09E5.13,agt-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000095,C25A1.11,aha-1,WBGene00000095,aha-1,I,10193914,10196989,4.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000096,C41G7.5,ahr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000097,F58E10.4,aip-1,WBGene00000097,aip-1,V,14012310,14013622,3.82,0.914877707,1.1515e-7,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE
WBGene00000098,K07C11.2,air-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,0,2.57,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE
WBGene00000099,B0207.4,air-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000100,C25A11.4,ajm-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000101,D1022.7,aka-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000102,C12D8.10,akt-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000103,F28H6.1,akt-2,WBGene00000103,akt-2,X,14147621,14151992,4.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000105,F48F7.1,alg-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000106,T07D3.7,alg-2,WBGene00000106,alg-2,II,873181,878951,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000107,F54D8.3,alh-1,NA,NA,NA,NA,NA,NA,0.830277609,2.793e-4,Aldehyde dehydrogenase 2,10.78,0,4.02,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE
WBGene00000108,K04F1.15,alh-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000109,F36H1.6,alh-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.28,0,2.96,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE
WBGene00000110,T05H4.13,alh-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000111,T08B1.3,alh-5,WBGene00000111,alh-5,V,1996108,1999581,9.29,NA,NA,NA,8.08,0,2.01,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE
WBGene00000112,F56D12.1,alh-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000113,F45H10.1,alh-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000114,F13D12.4,alh-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000115,F01F1.6,alh-9,WBGene00000115,alh-9,III,5855989,5859130,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000116,C54D1.4,alh-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
WBGene00000117,F42G9.5,alh-11,NA,NA,NA,NA,NA,NA,0.874692247,4.10897e-5,betaine-aldehyde dehydrogenase,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000118,Y69F12A.2,alh-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
WBGene00000120,C01F6.5,aly-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000121,F23B2.6,aly-2,NA,NA,NA,NA,NA,NA,0.786020941,1.06186e-5,vimentin like,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000122,M18.7,aly-3,NA,NA,NA,NA,NA,NA,0.956138437,3.10612e-7,"RNA recognition motif. (aka RRM, RBD, or RNP domain)",NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000123,F36A4.7,ama-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000133,C05E11.4,amt-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000134,F49E11.3,amt-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000135,M195.3,amt-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000136,C05E11.5,amt-4,WBGene00000136,amt-4,X,4565275,4569533,9.87,NA,NA,NA,9.2,0,2.03,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE
WBGene00000137,R13G10.2,amx-1,WBGene00000137,amx-1,III,3822381,3826240,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000138,B0019.1,amx-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000139,F25C8.2,amx-3,WBGene00000139,amx-3,V,20894324,20897727,3.97,NA,NA,NA,7.52,0,2.13,7.52,0,2.14,TRUE,FALSE,FALSE,TRUE,TRUE
WBGene00000140,ZK973.6,anc-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000142,C08B6.9,aos-1,WBGene00000142,aos-1,V,10125022,10130266,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000143,K06H7.6,apc-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000144,F15H10.3,apc-10,WBGene00000144,apc-10,V,10425335,10426358,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000145,F35G12.9,apc-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000146,F46F3.4,ape-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000147,VF36H2L.1,aph-1,WBGene00000147,aph-1,I,9228154,9233549,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000148,ZC434.6,aph-2,WBGene00000148,aph-2,I,10336384,10345638,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000149,C42D8.8,apl-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000150,F55A12.7,apm-1,WBGene00000150,apm-1,I,5342182,5344727,64.46,0.892878304,1.53072e-4,clathrin coat assembly protein complex 1 medium chain,11.12,0,2.2,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,FALSE
WBGene00000151,T05H10.2,apn-1,NA,NA,NA,NA,NA,NA,0.833460362,1.95529e-11,AP endonuclease (family 2),NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
WBGene00000155,W03G9.4,app-1,WBGene00000155,app-1,I,4964674,4967090,5.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000156,K04G2.8,apr-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000157,F02E8.3,aps-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000158,Y105E8A.9,apg-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000159,F29G9.3,aps-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.52,0,2.42,FALSE,FALSE,FALSE,FALSE,TRUE
WBGene00000160,Y71H2B.10,apb-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000161,T20B5.1,apa-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000162,W09G10.4,apd-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000163,R11A5.1,apb-3,WBGene00000163,apb-3,I,7853743,7859411,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000164,F53H8.1,apm-3,WBGene00000164,apm-3,X,954932,957761,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000165,Y48G8AL.14,aps-3,WBGene00000165,aps-3,I,1155399,1156022,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE
WBGene00000166,W04G3.4,apt-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
WBGene00000168,K08D9.3,apx-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
