WBGeneID,emb_510min,emb_548min,emb_587min,emb_626min,emb_665min,L1,L2,L3,L4,YA,Sequence.name,Public_name,blazie_mixed,hashimshony_emb,pauli_L4,spencer_LE,spencer_L2,cluster.description
WBGene00001795,0.3327,0.4663,0.4762,0.4657,0.4605,0.28904,0.372836,0.429283,0.249575,0.435017,C05C12.3,gtl-1,TRUE,FALSE,FALSE,FALSE,TRUE,Increasing
WBGene00001835,0.3423,0.2147,0.2453,0.2324,0.1678,0.423518,0.242662,0.199329,0.265986,0.664257,C08B11.2,hda-2,TRUE,FALSE,TRUE,FALSE,FALSE,Larval
WBGene00002007,22.5179,19.6515,21.9586,22.2243,20.5464,16.8892,27.109,41.6808,13.4499,12.8449,C15H9.6,hsp-3,FALSE,FALSE,FALSE,TRUE,FALSE,Increasing
WBGene00002023,7.5219,7.7787,7.1337,7.1755,6.7575,3.96631,4.43816,4.91811,3.03343,3.28536,C09B8.6,hsp-25,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing
WBGene00002094,0.0531,0.0566,0.0603,0.0591,0.0623,0.158162,0.287978,0.108445,0.0456464,0.0229195,C17C3.4,ins-11,FALSE,FALSE,FALSE,FALSE,TRUE,Larval
WBGene00002146,1.6692,1.4394,1.6861,1.7518,1.8251,1.06445,0.712681,0.394814,0.368699,0.358051,C09B8.1,ipp-5,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00002220,0.5289,0.5273,0.487,0.5688,0.4654,0.263256,0.323763,0.176117,0.213249,0.214579,C15C7.2,gcc-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00002226,0.2356,0.1489,0.0875,0,0.0152,0.390787,0.471279,0.549822,1.05507,2.73847,C41G7.2,klp-16,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00002231,0.6376,0.5418,0.3625,0.4667,0.1892,0.309804,0.449655,0.567602,0.554949,1.27298,C02F5.1,knl-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00002850,0.4783,0.4425,0.4191,0.429,0.4295,0.596782,0.732004,0.826672,0.944769,1.41992,C16A3.3,let-716,FALSE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00002855,1.9905,1.8401,1.6281,1.3421,0.9266,3.55017,1.78641,1.69506,1.6232,2.58154,C05D11.12,let-721,FALSE,FALSE,FALSE,TRUE,FALSE,Increasing
WBGene00002980,46.2877,45.0088,25.3976,43.8245,55.4775,34.2631,21.1168,7.85417,12.181,17.0836,C32D5.9,lgg-1,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing
WBGene00002982,5.1269,4.2734,4.3065,2.558,1.8329,1.12158,0.66263,0.733222,1.62314,2.36268,B0336.8,lgg-3,FALSE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00002985,0.719,0.4779,0.2728,0.0488,0.5515,0.536525,0.398831,0.416922,0.587801,1.50146,C29A12.3,lig-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00003007,0.4874,0.4904,0.5487,0.5443,0.6169,0.519953,0.484326,0.415628,0.186857,0.277294,C16B8.1,lin-18,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00003010,3.8305,3.6151,3.7704,4.1382,3.9711,2.23468,1.60756,1.23333,1.08933,2.20045,B0001.1,lin-24,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing
WBGene00003026,0.1071,0.0489,0.3989,0.6981,0.9977,1.50873,2.88662,0.53642,0.672536,3.33338,C12C8.3,lin-41,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00003043,1.0684,1.2466,1.3052,1.4465,1.5512,0.963263,0.636006,0.412934,0.416115,1.1771,C05B10.1,lip-1,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00003053,4.736,4.049,3.4765,1.6826,0.82,8.67774,9.40213,10.5411,5.39841,6.05312,C03B1.12,lmp-1,FALSE,FALSE,TRUE,FALSE,TRUE,L3_High
WBGene00003059,0.2997,0.2284,0.1842,0.0871,0,0.677133,0.564643,0.602924,1.02479,1.36734,C48E7.3,lpd-2,FALSE,FALSE,TRUE,TRUE,FALSE,L3_High
WBGene00003096,0.0371,0.0448,0.0395,0.0353,0.0363,0.608798,5.79107,4.68719,1.96744,4.74479,C02A12.4,lys-7,FALSE,FALSE,TRUE,FALSE,TRUE,Larval
WBGene00003160,0.5856,0.5505,0.3054,0.3992,0.3499,0.581825,0.573653,0.58988,0.724348,1.50642,C50F4.11,mdf-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00003214,3.9353,3.0096,4.9634,5.5286,5.5725,4.43766,7.32701,11.0672,8.93028,11.7413,C05D11.11,mel-32,FALSE,FALSE,FALSE,TRUE,FALSE,Increasing
WBGene00003526,2.8603,2.2016,2.3572,2.3411,2.5796,0.0653261,1.73203,0.185912,1.11112,0.360385,C07D10.4,nas-7,FALSE,TRUE,FALSE,FALSE,FALSE,L3_High
WBGene00003571,0.0242,0.0255,0.0312,0.0347,0.0363,0.173042,0.100492,0.149563,0.0655864,0.212789,C07A9.4,ncx-6,FALSE,FALSE,FALSE,FALSE,TRUE,Increasing
WBGene00003632,0.7754,0.7013,0.5931,0.6,0.5558,0.743154,0.546174,0.249684,0.196436,0.236029,C33G8.6,nhr-42,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00003640,0.7152,0.7894,0.7968,0.833,0.8481,0.179078,0.235265,0.129858,0.0771225,0.0693967,C06C6.5,nhr-50,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00003690,0.986,0.8463,0.889,0.9439,0.8883,1.17701,0.672872,0.400092,0.254481,0.36588,C28D4.1,nhr-100,FALSE,FALSE,TRUE,FALSE,FALSE,Larval
WBGene00003695,0.7152,0.7712,0.7809,0.7647,0.7748,1.49263,0.46095,0.28767,0.306371,0.286784,C06G3.1,nhr-105,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00003719,0.3583,0.295,0.2368,0.2054,0.1375,0.129273,0.101719,0.0767585,0.031415,0.0391216,C50B6.14,nhr-129,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00003730,1.4016,1.2355,1.2099,1.2089,1.3283,1.32987,1.68415,1.81558,1.21794,1.62926,B0495.4,nhx-2,TRUE,TRUE,TRUE,TRUE,TRUE,Increasing
WBGene00003769,2.5235,2.3713,1.8492,1.401,1.7491,5.29532,5.6834,4.43611,2.86129,1.01999,B0213.6,nlp-31,FALSE,TRUE,TRUE,TRUE,FALSE,Embryo_Specific
WBGene00003778,0.3205,0.2486,0.18,0.1804,0.1565,0.421218,0.462537,0.131345,0.175634,0.0741896,C15H9.1,nnt-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00003800,0.6301,0.6031,0.52,0.4494,0.2647,0.525321,0.609091,0.682598,0.819935,1.70377,C03D6.4,npp-14,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00003828,1.4272,0.8268,0.495,0.4458,0.3651,3.2618,2.1658,2.50229,2.01903,3.1426,C07B5.5,nuc-1,FALSE,FALSE,FALSE,TRUE,TRUE,Larval
WBGene00003831,3.2683,2.5957,1.6378,2.2858,2.3421,6.87444,8.90985,8.85034,7.03808,6.97217,C09H10.3,nuo-1,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00003870,1.465,1.0393,0.8602,0.8017,0.7909,0.855339,1.03919,0.841481,0.76111,1.99523,C18E9.11,ooc-5,TRUE,FALSE,FALSE,FALSE,FALSE,Larval
WBGene00003931,3.3303,3.1003,2.8853,2.8979,2.8237,1.23818,1.42076,1.18641,1.00579,0.546008,C29F9.7,pat-4,TRUE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00004042,1.0861,0.9156,1.2377,0,0.2368,1.293,1.34558,1.38849,1.82835,5.3413,C14B9.4,plk-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00004058,0.5611,0.5242,0.5985,0.5477,0.5894,0.666911,1.00882,0.865787,0.590352,0.741952,C44B7.8,pmp-1,TRUE,TRUE,FALSE,TRUE,TRUE,Increasing
WBGene00004059,1.3747,1.1126,1.1402,0.9997,0.9491,1.22249,1.05594,0.729156,0.47736,0.562657,C44B7.9,pmp-2,TRUE,TRUE,FALSE,TRUE,TRUE,Increasing
WBGene00004105,0.8097,0.8654,0.9704,0.9134,0.7352,0.555952,0.58712,0.671787,0.780166,1.30183,C18E9.3,szy-20,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00004191,0.0771,0.0792,0.0804,0.077,0.0721,0.0741057,0.160047,0.125427,0.0722201,0.0772515,C11H1.4,prx-1,FALSE,TRUE,FALSE,TRUE,FALSE,Increasing
WBGene00004193,0.6769,0.1742,0.0746,0.112,0,0.451721,0.452516,0.397237,0.331425,0.267817,C15H9.8,prx-3,TRUE,TRUE,FALSE,TRUE,TRUE,L3_High
WBGene00004194,1.0322,0.9154,0.7994,0.604,0.6386,0.523233,0.620126,0.618774,0.328151,0.432649,C34C6.6,prx-5,TRUE,TRUE,FALSE,TRUE,FALSE,L3_High
WBGene00004202,0.9309,1.031,1.0168,0.9725,0.9209,0.742483,0.509792,0.395552,0.215774,0.246372,C37A5.9,pry-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00004267,4.1306,4.4749,4.734,4.748,4.4952,2.36101,1.22673,0.386788,0.36943,0.21591,C18A3.6,rab-3,FALSE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00004303,0.2578,0.181,0.2078,0.0826,0.0886,0.668104,0.58865,0.604493,0.641692,1.3261,C29E4.3,ran-2,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00004310,1.0008,1.1544,1.1953,1.0965,1.1316,1.08787,0.393299,0.252493,0.394865,0.263914,C44C11.1,ras-1,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing
WBGene00004411,0.6275,0.6262,0.4938,0.4624,0.4772,0.475775,0.568397,0.601076,0.568774,0.973043,C42D4.8,rpc-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00004425,76.2171,79.0524,83.412,83.351,87.3753,182.958,102.156,108.918,179.613,97.5385,C32E8.2,rpl-13,FALSE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00004426,55.9765,59.6668,64.6015,68.4635,68.9998,151.961,100.746,99.5782,190.958,76.2422,C04F12.4,rpl-14,FALSE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00004431,125.3792,112.7596,110.0642,96.9545,82.0478,182.868,130.148,133.418,133.92,77.0785,C09D4.5,rpl-19,FALSE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00004437,5.666,4.4038,2.9298,1.0975,1.6594,8.57187,3.46767,2.7605,4.48632,3.38222,C03D6.8,rpl-24.2,FALSE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00004443,49.5476,72.3869,49.922,70.1404,52.1685,1061.05,640.624,557.416,604.359,354.727,B0513.3,rpl-29,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing
WBGene00004452,67.6216,80.9651,64.4277,83.5202,81.4619,368.925,268.499,261.113,364.336,156.349,C06B8.8,rpl-38,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing
WBGene00004454,250.4362,236.3314,215.024,192.9664,217.5749,500.311,387.844,410.386,364.639,160.728,C09H10.2,rpl-36.A,FALSE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00004460,2.3916,2.9668,1.9171,1.6505,0.9767,3.93547,4.14645,4.44649,3.99352,7.55917,C30C11.2,rpn-3,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing
WBGene00004498,48.8034,34.0619,15.4116,0,10.6094,294.654,191.812,188.007,310.218,124.918,B0412.4,rps-29,TRUE,FALSE,TRUE,FALSE,FALSE,Increasing
WBGene00004795,0.242,0.2493,0.198,0.168,0.1605,0.146744,0.205107,0.195342,0.258628,0.807396,C04F5.1,sid-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00004860,0.9143,0.7323,0.6498,0.4895,0.581,0.702188,0.55925,0.372476,0.248014,0.267363,C32D5.2,sma-6,TRUE,TRUE,TRUE,FALSE,FALSE,Increasing
WBGene00004927,0.8602,0.8426,0.7476,0.6752,0.612,0.902467,0.845481,0.898501,0.593814,0.848565,C05D9.1,snx-1,FALSE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00004945,0.6533,0.6268,0.7131,0.5883,0.7378,0.508894,0.299257,0.228123,0.143471,0.228711,C50E10.4,sop-2,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00005007,0.7246,0.7129,0.4934,0.6225,0.3244,1.09581,0.919615,0.893574,1.4056,3.01576,C27B7.1,spr-2,TRUE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00005833,0.1121,0.153,0.1442,0.1368,0.1375,0.634576,0.425402,0.279965,0.0318783,0.0857269,C25F9.7,srw-86,TRUE,FALSE,FALSE,FALSE,TRUE,Increasing
WBGene00006404,0.1626,0.1397,0.352,0.5373,0.8954,2.36207,4.66971,5.87697,1.60651,2.12885,C31C9.1,tag-10,TRUE,FALSE,TRUE,TRUE,TRUE,Larval
WBGene00006450,0.59,0.4879,0.5261,0.469,0.5035,0.387469,0.417422,0.261429,0.317369,0.570677,C28C12.10,tag-77,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00006467,1.2379,0.9482,0.9727,0.9505,0.9912,0.414013,0.531894,0.304241,0.20486,0.136124,C01B7.4,magu-2,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00006510,0.6388,0.4525,0.3855,0.3381,0.3087,0.311788,0.507296,0.719013,1.08947,1.2956,C01G6.6,mtrr-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00006515,2.0367,1.2933,1.1202,0.7196,0,2.15125,1.81506,1.44559,1.39673,3.12503,C05D11.3,txdc-9,FALSE,FALSE,TRUE,FALSE,FALSE,Larval
WBGene00006516,0.5259,0.5277,0.5122,0.4423,0.4336,0.521728,0.539604,0.56837,0.477102,0.865589,C05D11.2,vps-16,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00006627,0.1058,0.0716,0.1338,0.2155,0.2491,0.189684,0.094835,0.0374115,0.00829452,0.0479802,C02F5.8,tsp-1,TRUE,FALSE,FALSE,FALSE,TRUE,Larval
WBGene00006628,0.1967,0.1553,0.1834,0.1739,0.1554,0.117308,0.0659254,0.0374116,0.0173321,0.0416613,C02F5.11,tsp-2,TRUE,FALSE,FALSE,FALSE,TRUE,Increasing
WBGene00006635,1.3125,1.1081,0.8426,0.7054,0.3431,0.910039,0.948625,0.717021,0.438478,0.427839,C25G6.2,tsp-9,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00006679,0.0417,0.0537,0.0535,0.0496,0.0485,0.0799759,0.131713,0.16988,0.100635,0.130887,C33D12.3,twk-26,TRUE,FALSE,FALSE,FALSE,TRUE,Increasing
WBGene00006724,0.6851,0.509,0.713,0.4203,0.5888,1.27548,1.95768,2.04549,2.03794,3.05731,C08B11.7,ubh-4,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00006739,2.4183,2.8597,3.3253,3.7204,4.0227,2.09997,1.81112,0.995071,0.9034,1.46878,C41C4.6,ulp-4,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00006856,1.1733,1.0087,0.8335,0.1789,0,1.61461,1.96154,2.19808,2.19362,4.49206,C13B4.2,usp-14,TRUE,FALSE,FALSE,FALSE,FALSE,Larval
WBGene00006961,0.8354,0.7975,0.8563,0.7637,0.7597,1.01061,0.901882,0.814576,0.617484,1.17923,B0041.7,xnp-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00007021,0.5109,0.4922,0.3452,0.3315,0,0.397199,0.39683,0.415525,0.683747,0.499882,C24H11.6,immp-1,FALSE,FALSE,FALSE,FALSE,TRUE,L3_High
WBGene00007070,0.1093,0.1196,0.1254,0,3e-4,0.68491,0.648458,0.443867,0.570077,0.869933,AC3.2,ugt-49,TRUE,TRUE,FALSE,TRUE,TRUE,Increasing
WBGene00007107,12.3541,12.7088,10.2254,9.275,3.7379,3.64521,3.08625,2.87287,4.71185,5.10116,B0035.4,pfd-4,TRUE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00007112,0.2217,0.2134,0.2102,0.231,0.2085,5.54192,2.23253,2.93859,1.71045,2.67609,B0035.13,B0035.13,FALSE,FALSE,FALSE,FALSE,TRUE,Increasing
WBGene00007129,1.5842,1.509,1.3982,1.5248,1.0787,3.83303,4.29103,3.87564,3.29541,2.25404,B0272.3,B0272.3,FALSE,FALSE,TRUE,TRUE,FALSE,Increasing
WBGene00007130,1.9041,2.2367,2.0176,2.0639,2.1298,1.40798,1.09152,0.776069,0.658102,0.397549,B0272.4,B0272.4,FALSE,TRUE,FALSE,TRUE,FALSE,Increasing
WBGene00007131,0.7706,0.754,0.7156,0.6476,0.6214,0.0271495,0.0634561,0.0152111,0.0506757,0.0145731,B0284.1,pals-26,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00007136,0.2055,0.215,0.1111,0,0.0975,0.528552,0.406135,0.490922,0.769902,1.00551,B0285.3,B0285.3,TRUE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00007153,0.7272,0.416,0.4978,0.5861,0.6311,0.559473,2.20492,4.01937,1.6261,3.58126,B0365.6,clec-41,FALSE,FALSE,FALSE,FALSE,TRUE,Increasing
WBGene00007185,21.0903,19.7254,25.9231,26.7825,31.4939,16.2508,13.8976,15.3372,13.7858,6.76007,B0464.3,nlp-36,TRUE,FALSE,TRUE,TRUE,FALSE,Increasing
WBGene00007186,0.9611,0.7624,0.7846,0.7637,0.4093,0.79601,0.607544,0.756865,1.05205,2.4156,B0464.6,B0464.6,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00007219,0.8298,0.715,0.7489,0.7794,0.7602,1.85815,0.828354,0.218921,0.18298,0.0793743,C01A2.7,nlp-38,TRUE,FALSE,FALSE,FALSE,FALSE,Embryo_Specific
WBGene00007220,0.0917,0.1285,0.1303,0.1236,0.1248,0.0531541,0.242848,0.192162,0.136523,0.0761368,C01B9.1,C01B9.1,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00007223,16.9375,9.6743,10.6269,14.1692,6.1023,5.04787,4.31547,4.37529,12.1283,6.63231,C01F6.9,C01F6.9,TRUE,FALSE,TRUE,FALSE,FALSE,Increasing
WBGene00007228,1.8256,1.8,1.6448,1.6375,1.6873,0.684151,2.17144,0.8275,0.486987,0.429832,C01G6.7,acs-7,TRUE,TRUE,TRUE,TRUE,FALSE,L3_High
WBGene00007254,0.341,0.3308,0.304,0.2721,0.2607,0.196615,0.231679,0.272376,0.210489,0.275754,C01H6.4,C01H6.4,FALSE,FALSE,FALSE,FALSE,TRUE,Larval
WBGene00007275,0.1654,0.1631,0.1658,0.1552,0.1404,0.222193,0.206971,0.208041,0.144139,0.158675,C03D6.1,C03D6.1,FALSE,FALSE,FALSE,FALSE,TRUE,Increasing
WBGene00007284,0.56,0.5156,0.4749,0.4724,0.4976,0.407529,0.398011,0.37723,0.400083,0.320557,C03H12.1,C03H12.1,TRUE,FALSE,FALSE,TRUE,FALSE,Increasing
WBGene00007287,0.6985,0.7609,0.9944,0.7965,0.8846,0.343316,0.585589,0.367206,0.311444,0.321116,C04A11.3,gck-4,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00007333,0.5342,0.618,0.4771,0.4098,0.2551,0.689158,0.980711,1.10361,1.27872,3.10527,C05C10.6,ufd-3,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00007336,1.1048,1.1226,1.1061,1.0238,1.0978,1.62521,2.02683,1.00976,1.41342,0.988176,C05C12.4,C05C12.4,FALSE,FALSE,TRUE,TRUE,TRUE,Increasing
WBGene00007340,0.0347,0.04,0.0421,0.0427,0.0459,0.094787,0.0985491,0.0515154,0.0390994,0.134565,C05D12.2,C05D12.2,TRUE,FALSE,FALSE,FALSE,FALSE,Increasing
WBGene00007348,0.172,0.2043,0.2557,0.2366,0.2536,0.262303,0.207329,0.21643,0.132991,0.225258,C05G5.2,C05G5.2,TRUE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00007349,1.1668,1.1503,1.1063,0.9845,0.9233,0.365845,0.20328,0.0963675,0.129054,0.136772,C05G5.3,C05G5.3,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00007350,3.0961,2.8052,2.9136,3.1494,2.8052,4.58563,5.44463,5.80774,4.70458,3.86851,C05G5.4,sucl-1,TRUE,FALSE,FALSE,FALSE,FALSE,L3_High
WBGene00007362,0.4188,0.4056,0.4003,0.3867,0.361,0.55761,0.728009,1.46142,0.860672,0.98668,C06B3.3,cyp-35C1,FALSE,TRUE,FALSE,TRUE,FALSE,L3_High
WBGene00007368,0.9907,0.7828,0.8242,0.6987,0.5914,0.142936,0.373734,0.190035,0.21945,0.0947019,C06B8.2,C06B8.2,FALSE,FALSE,FALSE,TRUE,FALSE,Increasing
WBGene00007385,12.0214,12.8185,14.6329,20.1365,22.1407,19.418,20.5761,20.8885,21.5276,18.8531,C06H2.1,atp-5,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing
WBGene00007388,0.2558,0.2179,0.1993,0.2058,0.167,0.336255,0.277118,0.216558,0.101857,0.180595,C06H2.4,folt-1,TRUE,FALSE,FALSE,FALSE,FALSE,Larval
WBGene00007393,0.0387,0.0317,0.0326,0.024,0.0185,0.156735,0.132007,0.132459,0.0899397,0.0827311,C06H5.2,fbxa-157,TRUE,FALSE,FALSE,TRUE,TRUE,Increasing
WBGene00007394,0.3666,0.3347,0.3064,0.3363,0.3128,0.252136,0.345877,0.621772,0.554116,0.501189,C06H5.6,C06H5.6,TRUE,TRUE,FALSE,TRUE,FALSE,Increasing
WBGene00007400,0.7812,0.957,0.5394,0.8651,0.6893,0.877063,0.75005,0.87363,1.29302,1.88601,C07A9.2,bud-31,FALSE,FALSE,TRUE,FALSE,FALSE,L3_High
WBGene00007407,0.0742,0.0706,0.051,0.0444,0.0364,0.00458601,0.0012373,0.125661,0.00831925,0.00191578,C07B5.2,C07B5.2,FALSE,FALSE,TRUE,FALSE,FALSE,Embryo_Specific
WBGene00007421,0.3992,0.3951,0.4249,0.5165,0.5589,0.381391,0.35724,0.221468,0.242168,0.354483,C07H4.1,C07H4.1,FALSE,FALSE,TRUE,FALSE,FALSE,Increasing
