wbid,term,found
WBGene00016425,intestine WBbt:0005772,1.0
WBGene00004058,intestine WBbt:0005772,1.0
WBGene00015713,intestine WBbt:0005772,1.0
WBGene00021879,intestine WBbt:0005772,1.0
WBGene00010041,intestine WBbt:0005772,1.0
WBGene00044707,intestine WBbt:0005772,1.0
WBGene00019978,intestine WBbt:0005772,1.0
WBGene00010340,intestine WBbt:0005772,1.0
WBGene00003943,intestine WBbt:0005772,1.0
WBGene00011835,intestine WBbt:0005772,1.0
WBGene00010605,intestine WBbt:0005772,1.0
WBGene00020579,intestine WBbt:0005772,1.0
WBGene00018931,intestine WBbt:0005772,1.0
WBGene00015050,intestine WBbt:0005772,1.0
WBGene00004789,intestine WBbt:0005772,1.0
WBGene00008194,intestine WBbt:0005772,1.0
WBGene00015829,intestine WBbt:0005772,1.0
WBGene00014669,intestine WBbt:0005772,1.0
WBGene00010086,intestine WBbt:0005772,1.0
WBGene00008774,intestine WBbt:0005772,1.0
WBGene00003607,intestine WBbt:0005772,1.0
WBGene00016219,intestine WBbt:0005772,1.0
WBGene00017678,intestine WBbt:0005772,1.0
WBGene00000541,intestine WBbt:0005772,1.0
WBGene00020359,intestine WBbt:0005772,1.0
WBGene00008891,intestine WBbt:0005772,1.0
WBGene00001638,intestine WBbt:0005772,1.0
WBGene00008731,intestine WBbt:0005772,1.0
WBGene00007368,intestine WBbt:0005772,1.0
WBGene00013257,intestine WBbt:0005772,1.0
WBGene00017434,intestine WBbt:0005772,1.0
WBGene00008692,intestine WBbt:0005772,1.0
WBGene00020128,intestine WBbt:0005772,1.0
WBGene00012518,intestine WBbt:0005772,1.0
WBGene00000784,intestine WBbt:0005772,1.0
WBGene00011083,intestine WBbt:0005772,1.0
WBGene00007131,intestine WBbt:0005772,1.0
WBGene00003689,intestine WBbt:0005772,1.0
WBGene00020325,intestine WBbt:0005772,1.0
WBGene00002234,intestine WBbt:0005772,1.0
WBGene00008200,intestine WBbt:0005772,1.0
WBGene00010334,intestine WBbt:0005772,1.0
WBGene00000216,intestine WBbt:0005772,1.0
WBGene00015284,intestine WBbt:0005772,1.0
WBGene00021352,intestine WBbt:0005772,1.0
WBGene00000219,intestine WBbt:0005772,1.0
WBGene00001770,intestine WBbt:0005772,1.0
WBGene00017443,intestine WBbt:0005772,1.0
WBGene00006016,intestine WBbt:0005772,1.0
WBGene00012144,intestine WBbt:0005772,1.0
WBGene00007558,intestine WBbt:0005772,1.0
WBGene00008102,intestine WBbt:0005772,1.0
WBGene00009798,intestine WBbt:0005772,1.0
WBGene00013073,intestine WBbt:0005772,1.0
WBGene00015913,intestine WBbt:0005772,1.0
WBGene00010977,intestine WBbt:0005772,1.0
WBGene00007656,intestine WBbt:0005772,1.0
WBGene00015400,intestine WBbt:0005772,1.0
WBGene00022497,intestine WBbt:0005772,1.0
WBGene00013996,intestine WBbt:0005772,1.0
WBGene00017651,intestine WBbt:0005772,1.0
WBGene00003572,intestine WBbt:0005772,1.0
WBGene00007655,intestine WBbt:0005772,1.0
WBGene00013227,intestine WBbt:0005772,1.0
WBGene00016302,intestine WBbt:0005772,1.0
WBGene00010134,intestine WBbt:0005772,1.0
WBGene00021583,intestine WBbt:0005772,1.0
WBGene00018280,intestine WBbt:0005772,1.0
WBGene00009393,intestine WBbt:0005772,1.0
WBGene00008602,intestine WBbt:0005772,1.0
WBGene00015947,intestine WBbt:0005772,1.0
WBGene00017687,intestine WBbt:0005772,1.0
WBGene00008265,intestine WBbt:0005772,1.0
WBGene00008296,intestine WBbt:0005772,1.0
WBGene00010383,intestine WBbt:0005772,1.0
WBGene00010657,intestine WBbt:0005772,1.0
WBGene00010747,intestine WBbt:0005772,1.0
WBGene00016845,intestine WBbt:0005772,1.0
WBGene00008945,intestine WBbt:0005772,1.0
WBGene00002137,intestine WBbt:0005772,1.0
WBGene00003877,intestine WBbt:0005772,1.0
WBGene00002055,intestine WBbt:0005772,1.0
WBGene00017398,intestine WBbt:0005772,1.0
WBGene00006609,intestine WBbt:0005772,1.0
WBGene00009595,intestine WBbt:0005772,1.0
WBGene00014136,intestine WBbt:0005772,1.0
WBGene00003411,intestine WBbt:0005772,1.0
WBGene00019917,intestine WBbt:0005772,1.0
WBGene00017592,intestine WBbt:0005772,1.0
WBGene00012582,intestine WBbt:0005772,1.0
WBGene00008954,intestine WBbt:0005772,1.0
WBGene00013559,intestine WBbt:0005772,1.0
WBGene00007605,intestine WBbt:0005772,1.0
WBGene00018138,intestine WBbt:0005772,1.0
WBGene00016845,ABpraapaa WBbt:0006108,1.0
WBGene00004890,vulA WBbt:0006762,1.0
WBGene00016845,ABpraapap WBbt:0006062,1.0
WBGene00012782,head mesodermal cell WBbt:0004697,1.0
WBGene00002057,head mesodermal cell WBbt:0004697,1.0
WBGene00019738,head mesodermal cell WBbt:0004697,1.0
WBGene00004020,head mesodermal cell WBbt:0004697,1.0
WBGene00001099,head mesodermal cell WBbt:0004697,1.0
WBGene00006464,head mesodermal cell WBbt:0004697,1.0
WBGene00009483,head mesodermal cell WBbt:0004697,1.0
WBGene00013900,head mesodermal cell WBbt:0004697,1.0
WBGene00002041,head mesodermal cell WBbt:0004697,1.0
WBGene00003730,head mesodermal cell WBbt:0004697,1.0
WBGene00021262,head mesodermal cell WBbt:0004697,1.0
WBGene00017667,head mesodermal cell WBbt:0004697,1.0
WBGene00007928,head mesodermal cell WBbt:0004697,1.0
WBGene00000172,head mesodermal cell WBbt:0004697,1.0
WBGene00001578,head mesodermal cell WBbt:0004697,1.0
WBGene00015956,head mesodermal cell WBbt:0004697,1.0
WBGene00008167,head mesodermal cell WBbt:0004697,1.0
WBGene00020340,head mesodermal cell WBbt:0004697,1.0
WBGene00017969,head mesodermal cell WBbt:0004697,1.0
WBGene00013716,head mesodermal cell WBbt:0004697,1.0
WBGene00015608,head mesodermal cell WBbt:0004697,1.0
WBGene00007857,head mesodermal cell WBbt:0004697,1.0
WBGene00017957,head mesodermal cell WBbt:0004697,1.0
WBGene00019720,head mesodermal cell WBbt:0004697,1.0
WBGene00016542,head mesodermal cell WBbt:0004697,1.0
WBGene00013119,head mesodermal cell WBbt:0004697,1.0
WBGene00012445,head mesodermal cell WBbt:0004697,1.0
WBGene00022644,head mesodermal cell WBbt:0004697,1.0
WBGene00001506,head mesodermal cell WBbt:0004697,1.0
WBGene00016335,head mesodermal cell WBbt:0004697,1.0
WBGene00022413,head mesodermal cell WBbt:0004697,1.0
WBGene00045457,head mesodermal cell WBbt:0004697,1.0
WBGene00002054,head mesodermal cell WBbt:0004697,1.0
WBGene00009389,head mesodermal cell WBbt:0004697,1.0
WBGene00018350,head mesodermal cell WBbt:0004697,1.0
WBGene00016599,head mesodermal cell WBbt:0004697,1.0
WBGene00019957,head mesodermal cell WBbt:0004697,1.0
WBGene00012531,head mesodermal cell WBbt:0004697,1.0
WBGene00021325,head mesodermal cell WBbt:0004697,1.0
WBGene00018646,head mesodermal cell WBbt:0004697,1.0
WBGene00019682,head mesodermal cell WBbt:0004697,1.0
WBGene00013637,head mesodermal cell WBbt:0004697,1.0
WBGene00235133,head mesodermal cell WBbt:0004697,1.0
WBGene00021635,head mesodermal cell WBbt:0004697,1.0
WBGene00008341,head mesodermal cell WBbt:0004697,1.0
WBGene00008229,head mesodermal cell WBbt:0004697,1.0
WBGene00004796,head mesodermal cell WBbt:0004697,1.0
WBGene00009394,head mesodermal cell WBbt:0004697,1.0
WBGene00045397,head mesodermal cell WBbt:0004697,1.0
WBGene00018886,head mesodermal cell WBbt:0004697,1.0
WBGene00009259,head mesodermal cell WBbt:0004697,1.0
WBGene00019273,head mesodermal cell WBbt:0004697,1.0
WBGene00044761,head mesodermal cell WBbt:0004697,1.0
WBGene00019014,head mesodermal cell WBbt:0004697,1.0
WBGene00019579,head mesodermal cell WBbt:0004697,1.0
WBGene00010822,head mesodermal cell WBbt:0004697,1.0
WBGene00016425,head mesodermal cell WBbt:0004697,1.0
WBGene00004058,head mesodermal cell WBbt:0004697,1.0
WBGene00015713,head mesodermal cell WBbt:0004697,1.0
WBGene00021879,head mesodermal cell WBbt:0004697,1.0
WBGene00010041,head mesodermal cell WBbt:0004697,1.0
WBGene00019978,head mesodermal cell WBbt:0004697,1.0
WBGene00010340,head mesodermal cell WBbt:0004697,1.0
WBGene00003943,head mesodermal cell WBbt:0004697,1.0
WBGene00010605,head mesodermal cell WBbt:0004697,1.0
WBGene00020579,head mesodermal cell WBbt:0004697,1.0
WBGene00004789,head mesodermal cell WBbt:0004697,1.0
WBGene00008194,head mesodermal cell WBbt:0004697,1.0
WBGene00014669,head mesodermal cell WBbt:0004697,1.0
WBGene00010086,head mesodermal cell WBbt:0004697,1.0
WBGene00003607,head mesodermal cell WBbt:0004697,1.0
WBGene00016219,head mesodermal cell WBbt:0004697,1.0
WBGene00008891,head mesodermal cell WBbt:0004697,1.0
WBGene00001638,head mesodermal cell WBbt:0004697,1.0
WBGene00007368,head mesodermal cell WBbt:0004697,1.0
WBGene00013257,head mesodermal cell WBbt:0004697,1.0
WBGene00017434,head mesodermal cell WBbt:0004697,1.0
WBGene00000784,head mesodermal cell WBbt:0004697,1.0
WBGene00007131,head mesodermal cell WBbt:0004697,1.0
WBGene00003689,head mesodermal cell WBbt:0004697,1.0
WBGene00002234,head mesodermal cell WBbt:0004697,1.0
WBGene00010334,head mesodermal cell WBbt:0004697,1.0
WBGene00000216,head mesodermal cell WBbt:0004697,1.0
WBGene00000219,head mesodermal cell WBbt:0004697,1.0
WBGene00001770,head mesodermal cell WBbt:0004697,1.0
WBGene00012144,head mesodermal cell WBbt:0004697,1.0
WBGene00009798,head mesodermal cell WBbt:0004697,1.0
WBGene00013073,head mesodermal cell WBbt:0004697,1.0
WBGene00015913,head mesodermal cell WBbt:0004697,1.0
WBGene00010977,head mesodermal cell WBbt:0004697,1.0
WBGene00022497,head mesodermal cell WBbt:0004697,1.0
WBGene00013227,head mesodermal cell WBbt:0004697,1.0
WBGene00021583,head mesodermal cell WBbt:0004697,1.0
WBGene00009393,head mesodermal cell WBbt:0004697,1.0
WBGene00008602,head mesodermal cell WBbt:0004697,1.0
WBGene00015947,head mesodermal cell WBbt:0004697,1.0
WBGene00008296,head mesodermal cell WBbt:0004697,1.0
WBGene00016845,head mesodermal cell WBbt:0004697,1.0
WBGene00002137,head mesodermal cell WBbt:0004697,1.0
WBGene00003877,head mesodermal cell WBbt:0004697,1.0
WBGene00002055,head mesodermal cell WBbt:0004697,1.0
WBGene00006609,head mesodermal cell WBbt:0004697,1.0
WBGene00009595,head mesodermal cell WBbt:0004697,1.0
WBGene00014136,head mesodermal cell WBbt:0004697,1.0
WBGene00007605,head mesodermal cell WBbt:0004697,1.0
WBGene00018138,head mesodermal cell WBbt:0004697,1.0
WBGene00016845,ABalpapa WBbt:0006573,1.0
