LE_1,LE_2,L1_1,L1_2,L3_1,L3_2,LE_IDR,L1_IDR,L3_IDR,LE_peak_1_summit,LE_peak_2_summit,L1_peak_1_summit,L1_peak_2_summit,L3_peak_1_summit,L3_peak_2_summit,summit_agreement,k4cluster,k6cluster,k4weights,k6weights,LE_nonNormed,L1_nonNormed,L3_nonNormed,LE_std,L1_std,L3_std,name,cluster.description,variance,peak,WBGeneID,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,intestine_dev_cluster,class
1.251539,1.222393,1.462106,1.877143,2.565854,3.676885,0,0,1,NA,NA,NA,NA,171206,171203,1.5,4,6,0.869,1.000,1.237,1.670,3.121,-0.782,-0.344,1.127,ELT2peak00016,Increasing,0.9742889122432502,ELT2peak00016,WBGene00018958,169861,176040,+,inside,-1646,1096,Overlapping,Embryonic,NA
0,0,0.987061,0.893085,2.091923,2.50696,0,0,1,NA,NA,NA,NA,174350,174312,19,4,6,0.931,1.000,0.000,0.940,2.299,-0.934,-0.121,1.055,ELT2peak00017,Increasing,1.3365085293405832,ELT2peak00017,WBGene00018958,169861,176040,+,inside,1483,1240,Overlapping,Embryonic,NA
0.906891,1.662965,2,1.777608,1.729352,2.381429,1,0,0,178916,179712,NA,NA,NA,NA,398,2,5,0.992,1.000,1.285,1.889,2.055,-1.130,0.360,0.770,ELT2peak00018,Larval,0.1643382915440832,ELT2peak00018,WBGene00018957,178524,182161,+,inside,-653,69,Overlapping,NA,NA
1.283793,1.736966,1.465664,1.684498,2.091923,1.921998,1,0,0,182083,182217,NA,NA,NA,NA,67,0,0,0.000,0.000,1.510,1.575,2.007,-0.693,-0.453,1.146,ELT2peak00019,Not_Changing,0.07288314603058332,ELT2peak00019,WBGene00000227,183356,208468,+,overlapStart,-13103,502,Overlapping,NA,NA
1.882643,2.015942,1.731804,1.777608,4.243926,5.023535,0,0,1,NA,NA,NA,NA,310869,310923,27,3,4,0.976,1.000,1.949,1.755,4.634,-0.516,-0.637,1.153,ELT2peak00021,L3_High,2.5888088922377506,ELT2peak00021,WBGene00016906,305811,310802,-,overlapStart,-2690,173,Overlapping,NA,NA
1.485427,1.485427,2.34915,2.397759,3.951745,4.141166,1,1,1,315282,315295,315263,315265,315273,315320,16.333333333333332,4,6,0.997,1.000,1.485,2.373,4.046,-0.884,-0.201,1.085,ELT2peak00022,Increasing,1.6910653607615838,ELT2peak00022,WBGene00002077,310980,314989,-,overlapStart,-2414,30,Overlapping,NA,NA
1.607682,1.618321,1.020464,0.987825,3.169925,3.169925,0,0,1,NA,NA,NA,NA,318279,318224,27.5,3,4,0.893,1.000,1.613,1.004,3.170,-0.283,-0.828,1.111,ELT2peak00024,L3_High,1.2475538009135834,ELT2peak00024,WBGene00002079,318150,323359,-,overlapEnd,2179,172,Overlapping,NA,NA
0.399608,0.456858,1.386417,1.222393,2.729352,2.980891,0,0,1,NA,NA,NA,NA,378996,378865,65.5,4,6,0.989,1.000,0.428,1.304,2.855,-0.896,-0.183,1.079,ELT2peak00025,Increasing,1.5103644713980835,ELT2peak00025,WBGene00020089,373567,379075,-,overlapStart,-3239,456,Overlapping,NA,NA
0.327575,0.392317,2.308122,2,2.44556,2.154658,0,1,1,NA,NA,381694,381309,381529,381737,148.25,2,3,0.942,1.000,0.360,2.154,2.300,-1.152,0.508,0.644,ELT2peak00026,Larval,1.1674018530163333,ELT2peak00026,WBGene00004143,379069,381912,-,overlapStart,-1032,73,Overlapping,NA,NA
1.78136,2.008268,1.997656,2.027834,3.860597,4.195016,1,1,1,382511,382481,382567,382575,382564,382589,34.55555555556202,3,4,0.724,1.000,1.895,2.013,4.028,-0.626,-0.527,1.153,ELT2peak00027,L3_High,1.4373395957665829,ELT2peak00027,WBGene00006385,377186,388566,+,inside,-252,4969,Overlapping,NA,NA
1.070389,0.63743,1.86507,2.162271,1.243926,2.381429,0,0,1,NA,NA,NA,NA,400778,400668,55,2,3,0.774,1.000,0.854,2.014,1.813,-1.139,0.732,0.408,ELT2peak00030,Larval,0.3841133068323332,ELT2peak00030,WBGene00021733,398891,412921,+,inside,-5124,1531,Overlapping,NA,NA
1.465664,1.453718,1.652077,1.099536,2.50696,2.622437,1,0,0,403411,403097,NA,NA,NA,NA,157,3,4,0.978,1.000,1.460,1.376,2.565,-0.513,-0.639,1.152,ELT2peak00031,L3_High,0.44025706201008336,ELT2peak00031,WBGene00021733,398891,412921,+,inside,-2282,3880,Overlapping,NA,NA
2,1.54432,0.947533,0.929611,1.243926,0.729352,1,0,0,408452,408849,NA,NA,NA,NA,198.5,1,1,0.887,1.000,1.772,0.939,0.987,1.153,-0.628,-0.525,ELT2peak00032,Embryo_Specific,0.21903710527899997,ELT2peak00032,WBGene00021733,398891,412921,+,inside,3221,2796,Overlapping,NA,NA
1.830075,2.070389,1.386417,1.915111,2.828888,2.622437,1,0,0,443608,443651,NA,NA,NA,NA,21.5,3,4,0.895,1.000,1.950,1.651,2.726,-0.286,-0.826,1.112,ELT2peak00034,L3_High,0.3077300547760835,ELT2peak00034,WBGene00006593,443999,461608,+,overlapStart,-8743,714,Overlapping,NA,NA
1.777608,2.115477,1.409876,1.514573,1.243925,2.091923,1,0,0,453265,453092,NA,NA,NA,NA,86.5,0,0,0.000,0.000,1.947,1.462,1.668,1.046,-0.946,-0.100,ELT2peak00035,Not_Changing,0.05908407966108334,ELT2peak00035,WBGene00006593,443999,461608,+,inside,1218,6329,Overlapping,NA,NA
2.622931,3.067418,3.072712,2.617143,3.314315,3.243926,1,1,1,461729,461721,461741,461740,461745,461750,8.444444444437977,0,0,0.000,0.000,2.845,2.845,3.279,-0.577,-0.578,1.155,ELT2peak00036,Not_Changing,0.06280545886233349,ELT2peak00036,WBGene00021026,461989,462652,+,overlapStart,-518,209,Overlapping,Post-embryonic,NA
1.565597,1.605721,1.462106,1.029146,1.50696,0.729352,1,0,0,479666,479624,NA,NA,NA,NA,21,0,0,0.000,0.000,1.586,1.246,1.118,1.114,-0.293,-0.821,ELT2peak00037,Not_Changing,0.05840501616633333,ELT2peak00037,WBGene00021025,477582,482013,+,inside,83,1549,Overlapping,NA,NA
2.428843,2.476149,1.603578,1.929611,3.779979,4.157214,1,1,1,488453,488441,488273,488384,488430,488431,49,3,4,0.861,1.000,2.452,1.767,3.969,-0.246,-0.854,1.100,ELT2peak00038,L3_High,1.2696390669677498,ELT2peak00038,WBGene00021024,488605,489905,+,overlapStart,-855,173,Overlapping,Embryonic,NA
1.685127,2.194378,3.156119,3.099536,5.690182,6.393673,1,1,1,489924,489959,489896,489878,489954,489968,30.5,4,6,0.978,1.000,1.940,3.128,6.042,-0.835,-0.273,1.108,ELT2peak00039,Increasing,4.455223457708333,ELT2peak00039,WBGene00001814,489969,496158,+,overlapStart,-3056,368,Overlapping,NA,Target Gene Class A1
0.17403,0.342687,2.203872,2.684498,2.314315,2.091923,0,0,1,NA,NA,NA,NA,491657,491617,20,2,3,0.818,1.000,0.258,2.444,2.203,-1.149,0.675,0.474,ELT2peak00040,Larval,1.4363406178030833,ELT2peak00040,WBGene00001814,489969,496158,+,inside,-971,1402,Overlapping,NA,Target Gene Class A1
1.63743,1.576029,1.90099,1.811555,3.622437,4.348262,0,0,1,NA,NA,NA,NA,495658,495748,45,3,4,0.536,1.000,1.607,1.856,3.985,-0.670,-0.479,1.149,ELT2peak00041,L3_High,1.7088456141963333,ELT2peak00041,WBGene00001814,489969,496158,+,overlapEnd,3034,621,Overlapping,NA,Target Gene Class A1
1.695145,1.152003,2.210567,2.08017,3.169925,3.314315,0,0,1,NA,NA,NA,NA,510352,510352,0,4,6,0.950,1.000,1.424,2.145,3.242,-0.925,-0.136,1.061,ELT2peak00042,Increasing,0.8384934511830833,ELT2peak00042,WBGene00022039,508949,511210,-,overlapStart,-1034,912,Overlapping,NA,NA
1.981384,2.050211,2.1836,2.228269,6.081869,6.690182,1,1,1,516724,516741,516682,516654,516724,516802,35.44444444443798,3,4,0.763,1.000,2.016,2.206,6.386,-0.615,-0.538,1.154,ELT2peak00043,L3_High,6.101367603172335,ELT2peak00043,WBGene00022037,511044,519646,-,inside,-1492,2373,Overlapping,NA,NA
2.916168,2.975753,3.121016,3.394279,7.429792,7.706633,1,1,1,518358,518344,518432,518425,518441,518534,47.55555555556202,3,4,0.682,1.000,2.946,3.258,7.568,-0.637,-0.516,1.153,ELT2peak00044,L3_High,6.673888826116332,ELT2peak00044,WBGene00022037,511044,519646,-,inside,-3149,796,Overlapping,NA,NA
2.242857,2.020759,2.148863,1.839008,4.314315,4.804641,1,1,1,535424,535470,535429,535487,535449,535447,18.333333333333332,3,4,0.963,1.000,2.132,1.994,4.559,-0.529,-0.624,1.153,ELT2peak00045,L3_High,2.082433129077084,ELT2peak00045,WBGene00022042,535791,536587,+,overlapStart,-639,209,Overlapping,NA,NA
2.375867,2.332816,2.862036,2.908852,5.852735,6.047841,1,1,1,536916,536980,536870,536878,536892,536966,37.333333333333336,4,6,0.583,1.000,2.354,2.885,5.950,-0.709,-0.435,1.144,ELT2peak00046,Increasing,3.7676949734507517,ELT2peak00046,WBGene00007009,537116,542204,+,overlapStart,-2636,308,Overlapping,NA,NA
1.387023,1.329308,2.099536,2.192645,3.243926,3.44556,0,0,1,NA,NA,NA,NA,537876,538069,96.5,4,6,0.951,1.000,1.358,2.146,3.345,-0.925,-0.137,1.061,ELT2peak00047,Increasing,1.0006806308145837,ELT2peak00047,WBGene00007009,537116,542204,+,inside,-568,520,Overlapping,NA,NA
1.736966,1.39927,2.777607,2.2370390000000002,2.291231,2.381429,1,0,1,542197,542190,NA,NA,542376,542052,86.125,2,3,0.768,1.000,1.568,2.507,2.336,-1.138,0.740,0.398,ELT2peak00048,Larval,0.25024905250300006,ELT2peak00048,WBGene00007009,537116,542204,+,overlapEnd,3018,398,Overlapping,NA,NA
1.430634,0.974465,2.012824,2.308122,4.023536,4.812768,0,1,1,NA,NA,550523,550528,550556,550555,15,4,6,0.986,1.000,1.203,2.160,4.418,-0.843,-0.262,1.105,ELT2peak00050,Increasing,2.7258052228165837,ELT2peak00050,WBGene00004235,550696,556679,+,overlapStart,-3068,271,Overlapping,NA,Target Gene Class C
0.788496,0.347923,2.545792,2.169925,4.131451,4.676885,0,0,1,NA,NA,NA,NA,562684,562685,0.5,4,5,0.795,1.000,0.568,2.358,4.404,-0.977,-0.045,1.022,ELT2peak00051,Increasing,3.6841339544522507,ELT2peak00051,WBGene00022040,562736,565184,+,overlapStart,-1274,197,Overlapping,NA,NA
0.823122,0.612339,1.777608,1.514573,2.50696,1.921998,0,0,1,NA,NA,NA,NA,563499,563420,39.5,2,5,0.702,1.000,0.718,1.646,2.214,-1.070,0.159,0.911,ELT2peak00052,Larval,0.5708623081307499,ELT2peak00052,WBGene00022040,562736,565184,+,inside,-374,438,Overlapping,NA,NA
0.941106,1.165809,2.584962,2.514573,4.05128,4.565854,0,0,1,NA,NA,NA,NA,565230,565216,7,4,5,0.815,1.000,1.053,2.550,4.309,-0.972,-0.054,1.026,ELT2peak00053,Increasing,2.6546761923817503,ELT2peak00053,WBGene00000434,565286,566414,-,overlapEnd,629,186,Overlapping,NA,NA
1.965235,1.584962,1.020464,1.143736,1.828888,2.44556,0,0,1,NA,NA,NA,NA,636785,636818,16.5,3,2,0.511,1.000,1.775,1.082,2.137,0.206,-1.087,0.881,ELT2peak00054,L3_High,0.28744474235474987,ELT2peak00054,WBGene00022027,636804,637852,+,overlapStart,-423,259,Overlapping,NA,NA
1.584962,1.281286,1.215013,1.29956,2.921998,3.169925,1,0,0,638137,638340,NA,NA,NA,NA,101.5,3,4,0.994,1.000,1.433,1.257,3.046,-0.486,-0.664,1.150,ELT2peak00055,L3_High,0.9719203139062498,ELT2peak00055,WBGene00022026,638129,653988,+,overlapStart,-7718,315,Overlapping,NA,NA
1.273018,1.830075,1.747234,1.736966,1.243925,0.921998,1,0,0,651361,651022,NA,NA,NA,NA,169.5,0,0,0.000,0.000,1.552,1.742,1.083,0.273,0.835,-1.108,ELT2peak00056,Not_Changing,0.11505768346158336,ELT2peak00056,WBGene00022026,638129,653988,+,inside,5489,1590,Overlapping,NA,NA
0.866734,0.529177,0.543142,0.392944,0.50696,1.395929,1,0,0,670107,669862,NA,NA,NA,NA,122.5,0,0,0.000,0.000,0.698,0.468,0.951,-0.033,-0.983,1.016,ELT2peak00057,Not_Changing,0.058465573496583344,ELT2peak00057,WBGene00044461,667541,674413,-,inside,579,1995,Overlapping,NA,NA
1.169925,1.222392,2.099536,2.050626,3.091923,3.403124,0,0,1,NA,NA,NA,NA,680173,680246,36.5,4,5,0.893,1.000,1.196,2.075,3.248,-0.949,-0.095,1.044,ELT2peak00058,Increasing,1.0592040900062496,ELT2peak00058,WBGene00021215,680187,683472,+,overlapStart,-1565,254,Overlapping,NA,NA
1.206451,1.222392,1.514573,1.415038,3.622437,3.44556,0,0,1,NA,NA,NA,NA,818175,818249,37,3,4,0.524,1.000,1.214,1.465,3.534,-0.673,-0.476,1.149,ELT2peak00059,L3_High,1.6207815462723336,ELT2peak00059,WBGene00022518,803366,835293,+,inside,-1054,14569,Overlapping,NA,NA
2.974615,2.85141,2.526546,2.70922,3.796467,4.337035,1,1,1,820212,820186,820184,820161,820108,820121,32,3,4,0.963,1.000,2.913,2.618,4.067,-0.374,-0.759,1.133,ELT2peak00060,L3_High,0.5862387382627501,ELT2peak00060,WBGene00022518,803366,835293,+,inside,954,14636,Overlapping,NA,NA
1.103094,1.14439,0.828234,1.067114,1.091923,0.921998,1,0,0,829308,829732,NA,NA,NA,NA,212,0,0,0.000,0.000,1.124,0.948,1.007,1.090,-0.876,-0.214,ELT2peak00061,Not_Changing,0.008025458074750011,ELT2peak00061,WBGene00022518,803366,835293,+,inside,10837,3944,Overlapping,NA,NA
1.514573,1.5025,2.478047,1.929611,1.921998,1.729352,1,0,0,834084,835132,NA,NA,NA,NA,524,0,0,0.000,0.000,1.509,2.204,1.826,-0.970,1.028,-0.058,ELT2peak00062,Not_Changing,0.12116815607574995,ELT2peak00062,WBGene00022518,803366,835293,+,overlapEnd,15384,375,Overlapping,NA,NA
2.263035,2.253419,1.445986,1.36257,2.381429,3.064955,1,0,0,853324,853326,NA,NA,NA,NA,1,3,2,0.520,1.000,2.258,1.404,2.723,0.194,-1.083,0.889,ELT2peak00064,L3_High,0.4474925808703332,ELT2peak00064,WBGene00022388,853451,872826,+,overlapStart,-9712,400,Overlapping,NA,NA
1.263035,1.428843,1.222392,1.485427,2.622437,2.243926,0,0,1,NA,NA,NA,NA,874439,874022,208.5,3,4,0.861,1.000,1.346,1.354,2.433,-0.584,-0.571,1.155,ELT2peak00065,L3_High,0.39116463877674995,ELT2peak00065,WBGene00022389,872756,882713,-,inside,3258,1020,Overlapping,NA,NA
1.658963,1.674905,2.130124,2.21818,2.992387,3.565854,0,1,1,NA,NA,879914,879915,879851,879931,25.875,4,6,0.996,1.000,1.667,2.174,3.279,-0.857,-0.242,1.099,ELT2peak00066,Increasing,0.6795617993830834,ELT2peak00066,WBGene00022389,872756,882713,-,inside,-2518,1820,Overlapping,NA,NA
2.402098,2.459432,3.092304,3.313661,6.767488,6.944366,1,1,1,881597,881586,881686,881684,881634,881638,31.833333333333332,4,6,0.689,1.000,2.431,3.203,6.856,-0.733,-0.406,1.139,ELT2peak00067,Increasing,5.587063685605082,ELT2peak00067,WBGene00022389,872756,882713,-,inside,-3955,595,Overlapping,NA,NA
1.824913,1.382857,2.19546,2.392318,6.305702,6.881999,1,1,1,882813,882808,883016,882973,882951,883045,82.55555555554263,4,6,0.545,1.000,1.604,2.294,6.594,-0.700,-0.445,1.145,ELT2peak00068,Increasing,7.3109216854480845,ELT2peak00068,WBGene00022389,872756,882713,-,overlapStart,-5226,231,Overlapping,NA,NA
1.219566,1.209336,1.947533,1.514573,2.091923,1.729352,1,0,0,915273,915251,NA,NA,NA,NA,11,0,0,0.000,0.000,1.214,1.731,1.911,-1.118,0.311,0.808,ELT2peak00069,Not_Changing,0.13063397697108334,ELT2peak00069,WBGene00022391,912332,926916,-,inside,4197,2593,Overlapping,NA,NA
0.597901,1.392317,1.603578,1.287802,2.729352,2.828888,0,0,1,NA,NA,NA,NA,946133,946135,1,4,6,0.922,1.000,0.995,1.446,2.779,-0.803,-0.317,1.120,ELT2peak00070,Increasing,0.8606256750969998,ELT2peak00070,WBGene00003548,938464,947717,+,inside,3046,1334,Overlapping,NA,NA
1.777608,1.093109,1.099536,1.263034,2.243926,2.50696,0,0,1,NA,NA,NA,NA,948465,947746,359.5,3,4,0.956,1.000,1.435,1.181,2.375,-0.364,-0.767,1.131,ELT2peak00071,L3_High,0.3957209232510832,ELT2peak00071,WBGene00003548,938464,947717,+,overlapEnd,5496,217,Overlapping,NA,NA
0.523562,0.544321,1.4780470000000001,0.929611,1.381429,1.50696,0,0,1,NA,NA,NA,NA,952699,952951,126,2,5,0.967,1.000,0.534,1.204,1.444,-1.117,0.304,0.813,ELT2peak00072,Larval,0.22251422670924997,ELT2peak00072,WBGene00003238,948567,957492,-,inside,98,3892,Overlapping,NA,NA
2.026472,1.624491,1.807355,1.68741,3.546488,4.603821,1,0,1,957628,957296,NA,NA,957643,957621,125.5,3,4,0.937,1.000,1.825,1.747,4.075,-0.548,-0.607,1.154,ELT2peak00073,L3_High,1.747608424119,ELT2peak00073,WBGene00003238,948567,957492,-,overlapStart,-4432,461,Overlapping,NA,NA
1.616671,1.286523,2,2.192645,2.00946,2.921998,0,0,1,NA,NA,NA,NA,963934,963812,61,2,5,0.756,1.000,1.452,2.096,2.466,-1.077,0.179,0.899,ELT2peak00075,Larval,0.2634326410027498,ELT2peak00075,WBGene00018787,963693,973133,-,overlapEnd,3839,127,Overlapping,NA,NA
1,1.39927,0.932886,1.095348,3.169925,3.921998,0,0,1,NA,NA,NA,NA,973222,973232,5,3,4,0.980,1.000,1.200,1.014,3.546,-0.510,-0.642,1.152,ELT2peak00076,L3_High,1.9916502575177497,ELT2peak00076,WBGene00018787,963693,973133,-,overlapStart,-4818,151,Overlapping,NA,NA
1.490326,1.302563,4.282228,4.492769,4.01551,4.249069,0,1,1,NA,NA,986852,986860,986871,986869,7,2,3,0.835,1.000,1.396,4.387,4.132,-1.151,0.653,0.499,ELT2peak00077,Larval,2.7493972547703334,ELT2peak00077,WBGene00018786,979650,992183,+,inside,944,5169,Overlapping,NA,NA
0.949374,0.900464,1.929611,1.908852,4.413851,4.131451,0,0,1,NA,NA,NA,NA,987734,987735,0.5,4,6,0.985,1.000,0.925,1.919,4.273,-0.842,-0.264,1.105,ELT2peak00078,Increasing,2.9557583724100827,ELT2peak00078,WBGene00018786,979650,992183,+,inside,1820,4200,Overlapping,NA,NA
0.921998,0.847997,4.075288,4.294183,5.584962,6.085227,0,1,1,NA,NA,1015134,1015132,1015150,1015136,6,2,5,0.847,1.000,0.885,4.185,5.835,-1.091,0.218,0.873,ELT2peak00079,Larval,6.352569334489001,ELT2peak00079,WBGene00236808,1015196,1015741,-,overlapEnd,243,163,Overlapping,NA,NA
0.662965,0.9386,3.099536,2.85561,1.796467,2.314315,0,0,1,NA,NA,NA,NA,1016645,1016632,6.5,2,3,0.620,1.000,0.801,2.978,2.055,-1.047,0.945,0.101,ELT2peak00080,Larval,1.1938131683810835,ELT2peak00080,WBGene00005002,1016403,1019526,+,overlapStart,-1328,17,Overlapping,NA,Target Gene Class A1
1.485427,1.163499,2.652077,3.017074,6.690182,7.004147,0,1,1,NA,NA,1017573,1017543,1017561,1017546,11.25,4,6,0.958,1.000,1.324,2.835,6.847,-0.821,-0.292,1.114,ELT2peak00081,Increasing,8.146923683946582,ELT2peak00081,WBGene00005002,1016403,1019526,+,inside,-390,920,Overlapping,NA,Target Gene Class A1
0.952694,1.096861,2.203872,2.61891,4.169925,4.742177,0,0,1,NA,NA,NA,NA,1021522,1021485,18.5,4,6,0.939,1.000,1.025,2.411,4.456,-0.930,-0.127,1.057,ELT2peak00082,Increasing,2.9794948909640837,ELT2peak00082,WBGene00021327,1019825,1029910,-,inside,3345,1457,Overlapping,NA,NA
2,2.222392,3.649733,3.836501,5.141166,5.716413,1,1,1,1022293,1022289,1022302,1022257,1022283,1022284,10,4,5,0.715,1.000,2.111,3.743,5.429,-0.995,-0.011,1.005,ELT2peak00083,Increasing,2.7518474264565844,ELT2peak00083,WBGene00021327,1019825,1029910,-,inside,2172,2138,Overlapping,NA,NA
1.7589920000000001,1.47032,0.691878,0.68741,3.243926,2.828888,0,0,1,NA,NA,NA,NA,1030156,1030115,20.5,3,2,0.773,1.000,1.615,0.690,3.036,-0.140,-0.923,1.063,ELT2peak00084,L3_High,1.3973866140523334,ELT2peak00084,WBGene00021327,1019825,1029910,-,overlapStart,-5633,41,Overlapping,NA,NA
2.584962,2.681824,1.400045,0.652077,3.243926,3.50696,1,0,1,1034396,1034369,NA,NA,1034399,1034401,11.125,3,2,0.486,1.000,2.633,1.026,3.375,0.240,-1.098,0.858,ELT2peak00085,L3_High,1.4422916904413332,ELT2peak00085,WBGene00004952,1030632,1034631,-,overlapStart,-1840,270,Overlapping,NA,NA
2,2.885357,2.007905,2.150417,3.754888,4.141166,1,0,1,1048047,1047486,NA,NA,1049314,1049285,766.5,3,4,0.969,1.000,2.443,2.079,3.948,-0.384,-0.751,1.135,ELT2peak00086,L3_High,0.981813200869083,ELT2peak00086,WBGene00021331,1049596,1050727,+,overlapStart,-1736,97,Overlapping,Embryonic,NA
0.900464,0.774933,1.63005,1.695145,2.584963,3.118395,0,0,1,NA,NA,NA,NA,1050865,1050886,10.5,4,6,0.930,1.000,0.838,1.663,2.852,-0.935,-0.120,1.055,ELT2peak00087,Increasing,1.025081771370583,ELT2peak00087,WBGene00021333,1050665,1053826,-,overlapEnd,1266,40,Overlapping,NA,NA
1.146842,0.87092,2.790431,2.594743,5.261847,5.828888,0,1,1,NA,NA,1051897,1052256,1052341,1052312,152.25,4,6,0.981,1.000,1.009,2.693,5.545,-0.904,-0.170,1.074,ELT2peak00088,Increasing,5.2588220400497505,ELT2peak00088,WBGene00021333,1050665,1053826,-,inside,61,982,Overlapping,NA,NA
1.111031,0.786293,1.033947,1.472753,2.729352,2.729352,1,0,1,1053763,1053699,NA,NA,1053834,1053455,116.375,4,6,0.676,1.000,0.949,1.253,2.729,-0.730,-0.410,1.140,ELT2peak00089,Increasing,0.9070455929079999,ELT2peak00089,WBGene00021333,1050665,1053826,-,overlapStart,-1604,617,Overlapping,NA,NA
1.974005,1.772589,1.622437,1.345597,3.131451,3.551354,1,1,1,1066753,1067138,1067172,1067178,1067166,1067165,114.11111111116286,3,4,0.958,1.000,1.873,1.484,3.341,-0.367,-0.765,1.132,ELT2peak00090,L3_High,0.9594589288567501,ELT2peak00090,WBGene00021334,1053888,1066905,-,overlapStart,-6797,475,Overlapping,Embryonic,NA
1.238787,1.485427,1.742842,1.844722,4.536707,5.030522,1,1,1,1068487,1068421,1068339,1068447,1068392,1068458,40,4,6,0.495,1.000,1.362,1.794,4.784,-0.689,-0.458,1.147,ELT2peak00091,Increasing,3.4720258760395843,ELT2peak00091,WBGene00001745,1068484,1076389,+,overlapStart,-3922,406,Overlapping,NA,Target Gene Class A1
2.5025,2.495411,1.777608,1.628744,3.988087,4.397731,0,0,1,NA,NA,NA,NA,1069817,1069836,9.5,3,4,0.853,1.000,2.499,1.703,4.193,-0.235,-0.861,1.097,ELT2peak00092,L3_High,1.6169189806785835,ELT2peak00092,WBGene00001745,1068484,1076389,+,inside,-2490,1093,Overlapping,NA,Target Gene Class A1
