	Oxidoreductase	GO:0016491~oxidoreductase activity	GO:0055114~oxidation-reduction process	
Putative aldehyde dehydrogenase family 7 member A1 homolog(alh-9)	1	1	1	
CYtochrome P450 family(cyp-37A1)	1	1	1	
Glutamate dehydrogenase(gdh-1)	1	1	1	
ALdehyde deHydrogenase(alh-8)	1	1	1	
CYtochrome P450 family(cyp-29A3)	1	1	1	
Glycerol-3-phosphate dehydrogenase [NAD(+)](gpdh-1)	1	1	1	
Cholesterol 7-desaturase(daf-36)	1	1	1	
Tryptophan 2,3-dioxygenase(tdo-2)	1	1	1	
Probable peroxisomal acyl-coenzyme A oxidase 5(acox-5)	1	1	1	
Lysine-specific demethylase 4(jmjd-2)	1	1	1	
CYtochrome P450 family(cyp-14A5)	1	1	1	
CYtochrome P450 family(cyp-33C7)	1	1	1	
Sulfhydryl oxidase(F35G2.1)	1	1	1	
Aldehyde dehydrogenase(alh-5)	1	1	1	
