	GO:0016717~oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	IPR005804:Fatty acid desaturase, type 1	GO:0004768~stearoyl-CoA 9-desaturase activity	GO:0006636~unsaturated fatty acid biosynthetic process	Fatty acid biosynthesis	GO:0006633~fatty acid biosynthetic process	Fatty acid metabolism	GO:0006631~fatty acid metabolic process	Lipid biosynthesis	Lipid metabolism	
Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial(dbt-1)	0	0	0	0	1	1	1	1	1	1	
Elongation of very long chain fatty acids protein(elo-2)	0	0	0	0	1	1	1	1	1	1	
Elongation of very long chain fatty acids protein(elo-9)	0	0	0	0	1	1	1	1	1	1	
Elongation of very long chain fatty acids protein(elo-1)	0	0	0	1	1	1	1	1	1	1	
Omega-3 fatty acid desaturase fat-1(fat-1)	0	1	0	1	1	1	1	1	1	1	
Delta(9)-fatty-acid desaturase fat-5(fat-5)	1	0	1	1	1	1	1	1	1	1	
Delta(9)-fatty-acid desaturase fat-6(fat-6)	1	0	1	1	1	1	1	1	1	1	
Delta(5) fatty acid desaturase fat-4(fat-4)	0	1	1	1	1	1	1	1	1	1	
Delta(6)-fatty-acid desaturase fat-3(fat-3)	0	1	1	1	1	1	1	1	1	1	
Delta(12) fatty acid desaturase fat-2(fat-2)	1	1	1	1	1	1	1	1	1	1	
